"plot_id","closest_SW_distance_m","closest_SE_distance_m","log_closest_SW","log_closest_SE","predicted_DGR_se_only","predicted_DGR_se_only_lwr","predicted_DGR_se_only_upr","predicted_DGR_sw_se","predicted_DGR_sw_se_lwr","predicted_DGR_sw_se_upr"
"026_2",123.76082979033,161.030379231569,4.81835091107693,5.08159303806389,2.77409572268826,2.54164297907907,3.00654846629745,3.02061410356878,2.77347306553298,3.26775514160458
"026_3",17.4877626763516,44.0741495420905,2.86150136068517,3.78587343239931,3.10731069260567,3.06179966565263,3.15282171955871,3.0748870141023,3.02713993528263,3.12263409292197
"026_4",136.760412665304,44.7684052601505,4.91823058220808,3.80150265089364,3.11210076985629,3.07041593473451,3.15378560497806,3.37649404942494,3.2377841482901,3.51520395055978
"031_1",16.1054128657159,44.7757459220568,2.7791554183264,3.80166660715043,3.11215066554095,3.07049629370637,3.15380503737553,3.05463194618775,3.01042240023652,3.09884149213898
"031_2",15.7858355373096,44.1893183481522,2.75911305296953,3.78848309354624,3.10811474590135,3.06336510310159,3.15286438870112,3.04573347097767,2.99729941841727,3.09416752353806
"031_3",16.5258349365705,45.7439596480697,2.80492491012373,3.82305975345447,3.1185806359269,3.07910002925432,3.15806124259947,3.06698090059989,3.02571538073013,3.10824642046964
"031_4",15.1104669046901,46.6427356878181,2.71538767618382,3.84251719572126,3.12425228461404,3.0838255964185,3.16467897280958,3.04525703592453,2.99389587693974,3.09661819490931
"031_5",16.377326613161,46.1811717720299,2.79589785467492,3.83257217761981,3.12137795671212,3.08175132708668,3.16100458633756,3.06645193643625,3.02464957521257,3.10825429765993
"031_6",91.5773634693832,45.2537258203742,4.5171841174433,3.81228500532811,3.11536347435558,3.07523476198923,3.15549218672194,3.3952684906965,3.28745402818703,3.50308295320598
"035_1",15.8662466900731,44.5614488958417,2.76419400310591,3.79686911070625,3.1106874101413,3.06805644201012,3.15331837827248,3.04917709429253,3.00298050145846,3.09537368712659
"035_2",16.6171640906573,43.967732554144,2.81043614253686,3.78345601384267,3.10656454194748,3.06030701215226,3.15282207174269,3.05943423340205,3.01231008060236,3.10655838620174
"035_3",16.7759543159594,45.0549522074921,2.81994657041752,3.80788290492719,3.11403616491164,3.07338234200896,3.15468998781432,3.06791520371282,3.02587502283963,3.10995538458601
"035_4",16.1096500891789,44.7118735992211,2.77941847685237,3.80023909496441,3.1117159696221,3.0697894083976,3.15364253084661,3.05437667258221,3.00995505177917,3.09879829338525
